equipment_id,equipment_type,room_id,room_type,installation_date,age_months,week_of_year,is_exam_period,academic_usage_multiplier,daily_usage_hours,total_usage_hours,last_maintenance_days,maintenance_count,room_temperature,dust_factor,humidity,operating_temperature,power_consumption,vibration_level,dust_accumulation,humidity_level,usage_per_day,usage_vs_capacity,maintenance_frequency,maintenance_overdue,temperature_stress,environmental_stress,age_category,is_projector,is_air_conditioner,is_podium,failure_probability_clean,maintenance_urgency_clean,equipment_type_encoded,room_type_encoded,age_category_encoded
P1000,projector,LAB206,lab,2023-08-23,21,20,False,0.1,0.36,179.43,215,3,26.35,0.8,0.8,51.92,297.27,24.32,25.6,80.0,0.2843581616481775,0.015,0.13636363636363635,1,25.57,0.3322880000000001,young,1,0,0,0.5016373391118213,high,2,1,2
P1001,projector,LECTURE559,lecture_hall,2022-11-24,22,37,False,0.2,0.41,218.66,49,3,29.15,0.8,0.8,43.62,287.75,11.46,14.61,80.0,0.3308018154311649,0.017083333333333332,0.13043478260869565,0,14.469999999999999,0.279168,young,1,0,0,0.28289078780136656,medium,2,2,2
A1002,air_conditioner,CLASSROOM343,classroom,2023-12-08,3,10,False,1.0,10.6,763.16,135,1,27.02,1.5,0.4,35.01,1902.76,10.17,17.32,40.0,8.386373626373626,0.44166666666666665,0.25,0,7.989999999999998,0.21006,new,0,1,0,0.4355662247875174,high,0,0,1
A1003,air_conditioner,LECTURE305,lecture_hall,2022-05-21,36,19,False,0.1,0.38,330.25,2,6,28.55,0.8,0.8,32.17,2143.91,18.03,15.37,80.0,0.30550416281221093,0.015833333333333335,0.16216216216216217,0,3.620000000000001,0.20588800000000007,young,0,1,0,0.35098706448370987,medium,0,2,2
P1004,podium,SEMINAR369,seminar_room,2024-03-01,8,43,False,0.2,1.54,295.85,252,1,26.27,1.5,0.4,25.4,172.08,15.55,38.22,40.0,1.2275933609958507,0.06416666666666666,0.1111111111111111,1,-0.870000000000001,0.1524,new,0,0,1,0.3035588416183303,medium,1,3,1
P1005,projector,SEMINAR164,seminar_room,2022-03-02,24,8,False,1.0,5.95,3426.52,136,4,26.03,2.0,0.3,55.02,364.58,35.55,111.33,30.0,4.7524549237170595,0.24791666666666667,0.16,0,28.990000000000002,0.33012,young,1,0,0,0.5042315561323003,high,2,3,2
P1006,projector,LECTURE234,lecture_hall,2024-05-10,8,1,False,1.0,6.49,1246.95,33,1,26.38,2.0,0.3,48.59,324.95,13.75,36.12,30.0,5.174066390041494,0.2704166666666667,0.1111111111111111,0,22.210000000000004,0.29154,new,1,0,0,0.4167017016139607,high,2,2,1
A1007,air_conditioner,SEMINAR317,seminar_room,2023-01-14,14,10,False,1.0,6.94,2331.15,207,2,28.57,1.5,0.4,33.18,1988.42,19.5,39.41,40.0,5.537173396674585,0.2891666666666667,0.13333333333333333,1,4.609999999999999,0.19908,young,0,1,0,0.48217827937025837,high,0,3,2
A1008,air_conditioner,LAB506,lab,2021-03-27,45,49,False,0.2,1.48,1598.06,29,7,27.37,2.0,0.3,29.8,2363.69,21.05,58.88,30.0,1.1828719467061435,0.06166666666666667,0.15217391304347827,0,2.4299999999999997,0.1788,mature,0,1,0,0.31972642958671094,medium,0,1,0
P1009,podium,LECTURE897,lecture_hall,2019-11-23,58,35,True,1.0,3.22,4483.46,231,9,31.44,0.8,0.8,35.0,187.17,38.86,56.53,80.0,2.5752211372774267,0.13416666666666668,0.15254237288135594,1,3.5599999999999987,0.22400000000000006,mature,0,0,1,0.5693780348325522,high,1,2,0
