equipment_id,equipment_type,room_id,room_type,installation_date,age_months,week_of_year,is_exam_period,academic_usage_multiplier,daily_usage_hours,total_usage_hours,last_maintenance_days,maintenance_count,room_temperature,dust_factor,humidity,operating_temperature,power_consumption,vibration_level,dust_accumulation,humidity_level,usage_per_day,usage_vs_capacity,maintenance_frequency,maintenance_overdue,temperature_stress,environmental_stress,age_category,is_projector,is_air_conditioner,is_podium,failure_probability_clean,maintenance_urgency_clean,equipment_type_encoded,room_type_encoded,age_category_encoded,operating_hours,temperature,vibration,pressure,failure_probability,risk_level,health_score
P1000,Projector,LAB206,lab,2023-08-23,21,20,False,0.1,0.36,179.43,215,3,26.35,0.8,0.8,51.92,297.27,24.32,25.6,80.0,0.2843581616481775,0.015,0.1363636363636363,1,25.57,0.3322880000000001,young,1,0,0,0.5016373391118213,high,2,1,2,0,0,0,0,1.0,Critical,55.02397260273972
P1001,Projector,LECTURE559,lecture_hall,2022-11-24,22,37,False,0.2,0.41,218.66,49,3,29.15,0.8,0.8,43.62,287.75,11.46,14.61,80.0,0.3308018154311649,0.0170833333333333,0.1304347826086956,0,14.47,0.279168,young,1,0,0,0.2828907878013665,medium,2,2,2,0,0,0,0,0.0,Low,91.14383561643835
A1002,air_conditioner,CLASSROOM343,classroom,2023-12-08,3,10,False,1.0,10.6,763.16,135,1,27.02,1.5,0.4,35.01,1902.76,10.17,17.32,40.0,8.386373626373626,0.4416666666666666,0.25,0,7.989999999999998,0.21006,new,0,1,0,0.4355662247875174,high,0,0,1,0,0,0,0,0.0,Low,90.00342465753425
A1003,air_conditioner,LECTURE305,lecture_hall,2022-05-21,36,19,False,0.1,0.38,330.25,2,6,28.55,0.8,0.8,32.17,2143.91,18.03,15.37,80.0,0.3055041628122109,0.0158333333333333,0.1621621621621621,0,3.620000000000001,0.205888,young,0,1,0,0.3509870644837098,medium,0,2,2,0,0,0,0,0.0,Low,90.86301369863014
P1004,Podium,SEMINAR369,seminar_room,2024-03-01,8,43,False,0.2,1.54,295.85,252,1,26.27,1.5,0.4,25.4,172.08,15.55,38.22,40.0,1.2275933609958507,0.0641666666666666,0.1111111111111111,1,-0.870000000000001,0.1524,new,0,0,1,0.3035588416183303,medium,1,3,1,0,0,0,0,0.0,Low,80.73972602739727
P1005,Projector,SEMINAR164,seminar_room,2022-03-02,24,8,False,1.0,5.95,3426.52,136,4,26.03,2.0,0.3,55.02,364.58,35.55,111.33,30.0,4.75245492371706,0.2479166666666666,0.16,0,28.99,0.33012,young,1,0,0,0.5042315561323003,high,2,3,2,0,0,0,0,1.0,Critical,59.68493150684931
P1006,Projector,LECTURE234,lecture_hall,2024-05-10,8,1,False,1.0,6.49,1246.95,33,1,26.38,2.0,0.3,48.59,324.95,13.75,36.12,30.0,5.174066390041494,0.2704166666666667,0.1111111111111111,0,22.210000000000004,0.29154,new,1,0,0,0.4167017016139607,high,2,2,1,0,0,0,0,0.0,Low,95.73972602739725
A1007,air_conditioner,SEMINAR317,seminar_room,2023-01-14,14,10,False,1.0,6.94,2331.15,207,2,28.57,1.5,0.4,33.18,1988.42,19.5,39.41,40.0,5.537173396674585,0.2891666666666667,0.1333333333333333,1,4.609999999999999,0.19908,young,0,1,0,0.4821782793702583,high,0,3,2,0,0,0,0,0.0,Low,82.32191780821918
A1008,air_conditioner,LAB506,lab,2021-03-27,45,49,False,0.2,1.48,1598.06,29,7,27.37,2.0,0.3,29.8,2363.69,21.05,58.88,30.0,1.1828719467061437,0.0616666666666666,0.1521739130434782,0,2.43,0.1788,mature,0,1,0,0.3197264295867109,medium,0,1,0,0,0,0,0,0.0,Low,86.76369863013699
P1009,Podium,LECTURE897,lecture_hall,2019-11-23,58,35,True,1.0,3.22,4483.46,231,9,31.44,0.8,0.8,35.0,187.17,38.86,56.53,80.0,2.5752211372774267,0.1341666666666666,0.1525423728813559,1,3.5599999999999987,0.224,mature,0,0,1,0.5693780348325522,high,1,2,0,0,0,0,0,1.0,Critical,44.67808219178082
P1010,Projector,CLASSROOM417,classroom,2020-12-31,33,37,False,0.2,0.64,506.67,172,5,27.46,0.8,0.8,43.79,329.39,22.46,31.87,80.0,0.511271442986882,0.0266666666666666,0.1470588235294117,0,16.33,0.280256,young,1,0,0,0.4258701690895236,high,2,0,2,0,0,0,0,0.0,Low,79.96917808219177
A1011,air_conditioner,SEMINAR712,seminar_room,2019-04-03,56,45,False,0.2,0.47,636.75,113,9,31.86,1.5,0.4,32.05,2011.23,24.54,54.6,40.0,0.3787923854848304,0.0195833333333333,0.1578947368421052,0,0.1899999999999977,0.1923,mature,0,1,0,0.4101867644083348,high,0,3,0,0,0,0,0,0.0,Low,78.26027397260273
A1012,air_conditioner,CLASSROOM809,classroom,2019-11-28,55,23,False,1.0,8.72,11512.19,203,9,28.22,0.8,0.8,45.99,2701.04,46.74,61.72,80.0,6.972858873410055,0.3633333333333333,0.1607142857142857,1,17.770000000000003,0.294336,mature,0,1,0,0.7131784098702958,critical,0,0,0,0,0,0,0,0.0,Low,72.3458904109589
P1013,Projector,CLASSROOM563,classroom,2024-05-12,3,32,False,1.0,7.91,569.44,147,1,28.09,0.8,0.8,48.74,348.54,16.47,18.06,80.0,6.257582417582419,0.3295833333333333,0.25,0,20.65,0.311936,new,1,0,0,0.3252009458683695,medium,2,0,1,0,0,0,0,0.0,Low,89.18150684931507
A1014,air_conditioner,SEMINAR250,seminar_room,2021-12-18,30,23,False,1.0,8.96,6449.65,263,5,29.96,0.8,0.8,51.03,2187.57,34.53,40.89,80.0,7.158324084350721,0.3733333333333333,0.1612903225806451,1,21.07,0.326592,young,0,1,0,0.5795738933418375,high,0,3,2,0,0,0,0,0.0,Low,74.48630136986301
A1015,air_conditioner,CLASSROOM198,classroom,2019-10-26,48,40,False,0.2,2.09,2411.51,152,8,28.43,0.8,0.8,46.77,2400.32,28.09,32.39,80.0,1.673497571131159,0.0870833333333333,0.1632653061224489,0,18.340000000000003,0.2993280000000001,mature,0,1,0,0.5164087565727858,high,0,0,0,0,0,0,0,0.0,Low,77.58904109589041
A1016,air_conditioner,CLASSROOM572,classroom,2023-03-29,25,16,True,1.0,2.05,1230.37,194,4,30.15,1.5,0.4,38.8,2050.54,21.15,41.07,40.0,1.6383089214380824,0.0854166666666666,0.1538461538461538,1,8.649999999999999,0.2328,young,0,1,0,0.3835323141351007,medium,0,0,2,0,0,0,0,0.0,Low,80.46232876712328
