,predicted_failure_prob,predicted_urgency,age_months,equipment_type
998,0.8683545771672873,critical,56,projector
4304,0.8680549013791071,critical,58,projector
1571,0.8670557260493541,critical,53,projector
4359,0.8473120187970697,critical,59,projector
4196,0.8454036363237986,critical,58,projector
601,0.845149257097076,critical,57,air_conditioner
1316,0.8398320055646941,critical,53,projector
4648,0.8388042370727694,critical,56,projector
4847,0.8387380586893602,critical,52,projector
3028,0.8377428760093784,critical,56,projector
4767,0.8374726261961322,critical,44,projector
277,0.8339705430203793,critical,59,projector
4619,0.8309215562365982,critical,58,projector
4252,0.8296433930250241,critical,56,air_conditioner
3750,0.8276157756358737,critical,59,projector
157,0.8270142801584657,critical,57,projector
1724,0.8263930722162073,critical,58,air_conditioner
1509,0.8243344805404743,critical,56,projector
1656,0.8232679163214642,critical,53,projector
872,0.818922020686299,critical,51,projector
415,0.8124224932951375,critical,42,projector
4738,0.811330861416999,critical,53,air_conditioner
3761,0.8102859649595421,critical,55,projector
2348,0.8092848882926834,critical,45,projector
3278,0.806740863051436,critical,58,air_conditioner
423,0.8052172134669116,critical,56,projector
418,0.802551374492851,critical,51,projector
31,0.8025058062788049,critical,41,projector
527,0.8019495462665663,critical,54,air_conditioner
3487,0.799843387007086,critical,43,projector
2650,0.7991587783821995,critical,51,air_conditioner
962,0.7987050156453843,critical,58,air_conditioner
142,0.796401558340804,critical,58,air_conditioner
2579,0.7941420564884224,critical,57,air_conditioner
4420,0.7940735784154768,critical,53,projector
2734,0.7936728389512556,critical,51,projector
4384,0.7920971582519795,critical,46,projector
4198,0.7902049245914455,critical,52,projector
2993,0.7874532071874234,critical,44,projector
3226,0.7874276350434812,critical,47,projector
1721,0.7872736320408881,critical,52,projector
3180,0.7860832044364844,critical,58,air_conditioner
2861,0.7852931765290622,critical,50,projector
2481,0.7843162841769619,critical,54,air_conditioner
2907,0.7833743645718249,critical,56,projector
216,0.7831583097950228,critical,59,projector
120,0.7831258444629232,critical,55,projector
3805,0.7823894646832726,critical,56,air_conditioner
451,0.7820381582799039,critical,58,air_conditioner
3095,0.7819839124235284,critical,51,projector
3970,0.7819769407239011,critical,52,air_conditioner
1700,0.7804799329653823,critical,59,air_conditioner
1665,0.7803272808934059,critical,59,projector
2961,0.7786424095583487,critical,54,projector
306,0.7784208822377664,critical,42,projector
2313,0.7760475714248203,critical,47,projector
3169,0.7754717327198924,critical,56,air_conditioner
675,0.7735957652661414,critical,58,air_conditioner
2516,0.7735633160415932,critical,56,podium
2715,0.7733520629664894,critical,55,projector
39,0.7729573651146261,critical,56,air_conditioner
4594,0.7724417297197851,critical,47,projector
1779,0.7719326996459188,critical,58,podium
279,0.7704790985242035,critical,59,projector
3697,0.7702884022579772,critical,55,projector
1464,0.769308870883195,critical,55,projector
145,0.7687262268530393,critical,47,projector
3431,0.7681993347721214,critical,59,projector
2507,0.7669509444482459,critical,52,air_conditioner
3608,0.7668207108929342,critical,53,air_conditioner
4514,0.7666807531226015,critical,58,projector
3888,0.7666060571343443,critical,40,projector
4415,0.7654353830139131,critical,57,projector
4815,0.7648729387248412,critical,53,air_conditioner
2355,0.7648429196806926,critical,42,projector
1977,0.7642513917200324,critical,49,projector
3591,0.7639500176863566,critical,36,projector
4664,0.7634678812445926,critical,38,air_conditioner
4575,0.7623521944690324,critical,56,projector
2807,0.7614160703851419,critical,51,projector
865,0.7612343772523699,critical,58,projector
1774,0.7603513935499001,critical,53,projector
2724,0.7600161346944393,critical,52,projector
1791,0.7598779357937537,critical,29,projector
1744,0.7598204850989332,critical,39,air_conditioner
4015,0.7590074991355521,critical,43,projector
1006,0.7589936491842452,critical,58,projector
456,0.7584866137032457,critical,39,projector
4776,0.7582772591131476,critical,46,projector
3647,0.7569682347484377,critical,43,projector
890,0.7563058266403386,critical,53,projector
3154,0.75519817613348,critical,59,air_conditioner
1289,0.7548914987206383,critical,43,projector
4716,0.7545192052196409,critical,45,air_conditioner
782,0.7539912293278368,critical,41,projector
2396,0.7537255040386012,critical,40,air_conditioner
1288,0.7535858821596993,critical,57,projector
956,0.7534762434976515,critical,56,projector
4022,0.7532807752804072,critical,46,projector
3662,0.7531349176599089,critical,56,projector
719,0.7529196668970446,critical,36,projector
577,0.7522108597752237,critical,54,projector
1408,0.7512605216051533,critical,38,projector
1738,0.7508302713897681,critical,52,projector
1547,0.749722292680201,critical,36,projector
2036,0.7496597349206133,critical,40,projector
2464,0.7484463128891625,critical,41,projector
3390,0.7481955826112825,critical,54,projector
2092,0.74785753126458,critical,53,projector
295,0.7470868122412768,critical,38,projector
3796,0.7458264932322337,critical,42,projector
995,0.7451836489643703,critical,52,air_conditioner
4719,0.7449065980578757,critical,39,projector
3134,0.7436292719866778,critical,55,projector
3436,0.7419202452003298,critical,52,projector
466,0.7417294340084786,critical,32,projector
3584,0.7414350886402763,critical,58,air_conditioner
2580,0.7413440274843994,critical,50,projector
4663,0.7412381188431018,critical,49,air_conditioner
2015,0.7399828441978172,critical,49,air_conditioner
3623,0.739449799771702,critical,44,projector
1028,0.7390998884263545,critical,40,projector
4759,0.7390928895025961,critical,55,projector
4393,0.7386873556489743,critical,47,projector
867,0.7379750779463718,critical,36,projector
